,Construction,Area_in_Sqft,Price,Owner_info,Locality,BHK
0,Under Construction,2810, 1.6 Cr,BUILDER,Manikonda,3 
1,Ready to move,1495, 1.43 Cr,BUILDER,Shaikpet,2 
2,Under Construction,1295, 56.98 L,BUILDER,Bachupally,2 
3,Under Construction,890, 43.6 L,BUILDER,Shamshabad,2 
4,Under Construction,1431, 65.82 L,BUILDER,Tellapur,3 
5,Under Construction,2540, 1.65 Cr,BUILDER,Attapur,3 
6,Under Construction,4147, 6.22 Cr,BUILDER,Serilingampally,4 
7,Under Construction,2615, 1.41 Cr,BUILDER,Yapral,3 
8,New,3150, 1.11 Cr,BUILDER,Sheriguda,Residential Plot
9,Under Construction,1538, 95.35 L,BUILDER,Manikonda,3 
10,Under Construction,2300, 1.45 Cr,BUILDER,Bachupally,4 
11,Under Construction,1250, 56.25 L,BUILDER,Ghatkesar,2 
12,Under Construction,1310, 72.05 L,BUILDER,Attapur,2 
13,Under Construction,1790, 84.13 L,BUILDER,Kompally,3 
14,Under Construction,3120, 1.46 Cr,BUILDER,Shankarpalli,3 
15,Ready to move,1415, 96.22 L,BUILDER,Nanakramguda,3 
16,Under Construction,1503, 63.11 L,BUILDER,Mallampet,3 
17,Ready to move,3498, 2.9 Cr,BUILDER,Hitech City,4 
18,Under Construction,1704, 97.11 L,BUILDER,Manikonda,3 
19,Ready to move,2965, 3.04 Cr,BUILDER,Shaikpet,4 
20,Under Construction,1195, 52.58 L,BUILDER,Bachupally,2 
21,Under Construction,905, 44.33 L,BUILDER,Shamshabad,2 
22,Under Construction,1435, 66.01 L,BUILDER,Tellapur,3 
23,Under Construction,2540, 1.65 Cr,BUILDER,Attapur,3 
24,Under Construction,3262, 4.89 Cr,BUILDER,Serilingampally,4 
25,Under Construction,2950, 1.59 Cr,BUILDER,Yapral,3 
26,New,3150, 1.11 Cr,BUILDER,Sheriguda,Residential Plot
27,Under Construction,1505, 93.31 L,BUILDER,Manikonda,3 
28,Under Construction,1215, 54.67 L,BUILDER,Ghatkesar,2 
29,Under Construction,1485, 81.67 L,BUILDER,Attapur,3 
30,Under Construction,1270, 59.69 L,BUILDER,Kompally,2 
31,Under Construction,3000, 1.41 Cr,BUILDER,Shankarpalli,3 
32,Ready to move,1425, 96.9 L,BUILDER,Nanakramguda,3 
33,Under Construction,1107, 46.48 L,BUILDER,Mallampet,2 
34,Ready to move,3031, 2.56 Cr,BUILDER,Hitech City,4 
35,Under Construction,2810, 1.6 Cr,BUILDER,Manikonda,3 
36,Ready to move,1865, 1.77 Cr,BUILDER,Shaikpet,3 
37,Under Construction,1695, 74.58 L,BUILDER,Bachupally,3 
38,Under Construction,945, 48.65 L,BUILDER,Shamshabad,2 
