Construction,Area_in_Sqft,Price,Owner_info,Locality,BHK,Price_per_sqft
Under Construction,2810, 1.6 Cr,BUILDER,Manikonda,3,"5,699 / sq ft"
Ready to move,1495, 1.43 Cr,BUILDER,Shaikpet,2,"9,565 / sq ft"
Under Construction,1295, 56.98 L,BUILDER,Bachupally,2,"4,400 / sq ft"
Under Construction,890, 43.6 L,BUILDER,Shamshabad,2,"4,899 / sq ft"
Under Construction,1431, 65.82 L,BUILDER,Tellapur,3,"4,600 / sq ft"
Under Construction,2540, 1.65 Cr,BUILDER,Attapur,3,"6,501 / sq ft"
Under Construction,4147, 6.22 Cr,BUILDER,Serilingampally,4,"15,000 / sq ft"
Under Construction,2200, 1.18 Cr,BUILDER,Sainikpuri,3,"5,400 / sq ft"
New,1980, 70.38 L,BUILDER,Sheriguda,Residential Plot,"3,555 / sq ft"
Under Construction,1538, 95.35 L,BUILDER,Manikonda,3,"6,200 / sq ft"
Under Construction,2300, 1.45 Cr,BUILDER,Bachupally,4,"6,304 / sq ft"
Under Construction,1245, 56.02 L,BUILDER,Ghatkesar,2,"4,500 / sq ft"
Under Construction,1310, 72.05 L,BUILDER,Attapur,2,"5,500 / sq ft"
Under Construction,1310, 61.57 L,BUILDER,Kompally,2,"4,700 / sq ft"
Under Construction,3120, 1.46 Cr,BUILDER,Shankarpalli,3,"4,700 / sq ft"
Ready to move,1415, 96.22 L,BUILDER,Nanakramguda,3,"6,800 / sq ft"
Under Construction,1800, 75.58 L,BUILDER,Mallampet,3,"4,199 / sq ft"
Ready to move,3498, 2.9 Cr,BUILDER,Hitech City,4,"8,290 / sq ft"
Under Construction,1704, 97.11 L,BUILDER,Manikonda,3,"5,699 / sq ft"
Ready to move,2965, 3.04 Cr,BUILDER,Shaikpet,4,"10,252 / sq ft"
Under Construction,1195, 52.58 L,BUILDER,Bachupally,2,"4,400 / sq ft"
Under Construction,905, 44.33 L,BUILDER,Shamshabad,2,"4,899 / sq ft"
Under Construction,1435, 66.01 L,BUILDER,Tellapur,3,"4,600 / sq ft"
Under Construction,2540, 1.65 Cr,BUILDER,Attapur,3,"6,501 / sq ft"
Under Construction,3262, 4.89 Cr,BUILDER,Serilingampally,4,"15,000 / sq ft"
Under Construction,2195, 1.18 Cr,BUILDER,Sainikpuri,3,"5,400 / sq ft"
New,4203, 1.49 Cr,BUILDER,Sheriguda,Residential Plot,"3,555 / sq ft"
Under Construction,1505, 93.31 L,BUILDER,Manikonda,3,"6,200 / sq ft"
Under Construction,1245, 56.02 L,BUILDER,Ghatkesar,2,"4,500 / sq ft"
Under Construction,1485, 81.67 L,BUILDER,Attapur,3,"5,500 / sq ft"
Under Construction,1245, 58.51 L,BUILDER,Kompally,2,"4,700 / sq ft"
Under Construction,3000, 1.41 Cr,BUILDER,Shankarpalli,3,"4,700 / sq ft"
Ready to move,1425, 96.9 L,BUILDER,Nanakramguda,3,"6,800 / sq ft"
Under Construction,1143, 47.99 L,BUILDER,Mallampet,2,"4,199 / sq ft"
Ready to move,3031, 2.56 Cr,BUILDER,Hitech City,4,"8,446 / sq ft"
Under Construction,2810, 1.6 Cr,BUILDER,Manikonda,3,"5,699 / sq ft"
Ready to move,1865, 1.77 Cr,BUILDER,Shaikpet,3,"9,490 / sq ft"
Under Construction,1695, 74.58 L,BUILDER,Bachupally,3,"4,400 / sq ft"
Under Construction,945, 48.65 L,BUILDER,Shamshabad,2,"5,149 / sq ft"
Under Construction,1570, 72.22 L,BUILDER,Tellapur,3,"4,600 / sq ft"
Under Construction,2540, 1.65 Cr,BUILDER,Attapur,3,"6,501 / sq ft"
Under Construction,4258, 6.38 Cr,BUILDER,Serilingampally,4,"15,000 / sq ft"
Under Construction,2130, 1.15 Cr,BUILDER,Sainikpuri,3,"5,400 / sq ft"
New,1620, 57.59 L,BUILDER,Sheriguda,Residential Plot,"3,555 / sq ft"
Under Construction,1245, 77.19 L,BUILDER,Manikonda,2,"6,200 / sq ft"
Under Construction,1570, 70.65 L,BUILDER,Ghatkesar,3,"4,500 / sq ft"
Under Construction,1795, 98.72 L,BUILDER,Attapur,3,"5,500 / sq ft"
Under Construction,1575, 74.02 L,BUILDER,Kompally,3,"4,700 / sq ft"
Under Construction,1152, 48.37 L,BUILDER,Mallampet,2,"4,199 / sq ft"
Ready to move,1439, 43.17 L,OWNER,Patancheru,2,"3,000 / sq ft"
Under Construction,1597, 92.62 L,AGENT,Tellapur,3,"5,800 / sq ft"
Ready to move,1050, 47 L,AGENT,Nacharam,2,"4,476 / sq ft"
